,Date,id,date_y,sun,moon,mercury,venus,mars,jupiter,saturn,uran,neptun,pluton,Open,High,Low,Close,Adj Close,Volume
0,1981-01-05,18633,2444610.0,285.0760292,275.4782317,288.1326096,262.7654799,304.3679662,189.8052388,189.6272596,238.6307018,263.2148635,204.2124383,0.151228,0.151228,0.15067,0.15067,0.11866700000000001,35728000.0
1,1981-01-19,18647,2444624.0,299.3386989,109.0208894,311.5184146,280.2804243,315.4070296,190.3443614,189.7835661,239.2320128,263.6912938,204.3307761,0.146763,0.147321,0.146763,0.146763,0.11559000000000001,41574400.0
2,1981-01-20,18648,2444625.0,300.3560849,122.6153663,313.1919767,281.5318105,316.1971211,190.3596514,189.7812341,239.26981,263.7232888,204.3347475,0.14285699999999998,0.14285699999999998,0.142299,0.142299,0.11207400000000001,30083200.0
3,1981-01-21,18649,2444626.0,301.3732807,135.9182469,314.855576,282.7832331,316.9873533,190.3717755,189.7770959,239.306862,263.7549594,204.3381061,0.14508900000000002,0.146205,0.14508900000000002,0.14508900000000002,0.114272,15904000.0
4,1981-01-22,18650,2444627.0,302.3902923,148.9117973,316.5054495,284.034693,317.777719,190.3807231,189.7711526,239.3431592,263.7862975,204.3408507,0.146763,0.14787899999999998,0.146763,0.146763,0.11559000000000001,35548800.0
5,1981-01-23,18651,2444628.0,303.4071268,161.6007867,318.1371725,285.2861923,318.5682129,190.3864869,189.7634085,239.3786953,263.8172976,204.342983,0.146763,0.147321,0.146205,0.146205,0.115151,11222400.0
6,1981-01-26,18654,2444631.0,306.4566173,198.1931182,322.8675652,289.0409412,320.9404199,190.3846399,189.7294427,239.4806907,263.9082353,204.3457452,0.144531,0.144531,0.143973,0.143973,0.11339300000000001,24640000.0
7,1981-01-27,18655,2444632.0,307.4727823,210.0940993,324.3664041,290.2926067,321.7313785,190.3776404,189.7145716,239.5131375,263.9378496,204.3454693,0.143973,0.143973,0.14285699999999998,0.14285699999999998,0.11251400000000002,23699200.0
8,1981-01-28,18656,2444633.0,308.4887772,221.9687285,325.8123299,291.5443085,322.5224355,190.3674492,189.6979407,239.5448,263.9671077,204.3446014,0.138951,0.138951,0.13839300000000002,0.13839300000000002,0.108998,28156800.0
9,1981-01-29,18657,2444634.0,309.504595,233.8960656,327.1954649,292.7960405,323.31358,190.3540675,189.6795591,239.5756721,263.9960043,204.3431444,0.133929,0.133929,0.13337100000000002,0.13337100000000002,0.10504200000000001,43904000.0
10,1981-01-30,18658,2444635.0,310.5202255,245.9533287,328.5049404,294.0477946,324.1047993,190.3374976,189.6594355,239.6057467,264.0245328,204.3411003,0.12723199999999998,0.12723199999999998,0.126116,0.126116,0.099329,46188800.0
11,1981-02-02,18661,2444638.0,313.5658365,283.5542564,331.8700115,297.8030702,326.4787419,190.2686893,189.5886956,239.6910948,264.1078237,204.3314475,0.11942,0.11942,0.118862,0.118862,0.093615,23766400.0
12,1981-02-03,18662,2444639.0,314.580541,296.7065705,332.7606085,299.05478,327.2700828,190.2394016,189.5616852,239.7178827,264.1347867,204.3270514,0.123326,0.123884,0.123326,0.123326,0.097131,19152000.0
13,1981-02-04,18663,2444640.0,315.5949504,310.1870727,333.5136748,300.3064335,328.0613973,190.2069493,189.5329733,239.7438199,264.1613292,204.3220618,0.12779000000000001,0.128348,0.12779000000000001,0.12779000000000001,0.100647,27865600.0
14,1981-02-05,18664,2444641.0,316.6090344,323.9702793,334.1167324,301.5580107,328.85266,190.1713443,189.502571,239.7688957,264.1874402,204.3164774,0.12779000000000001,0.128906,0.12779000000000001,0.12779000000000001,0.100647,7929600.0
15,1981-02-06,18665,2444642.0,317.6227633,338.0073259,334.5585526,302.8094938,329.6438469,190.1326041,189.4704934,239.7931024,264.2131111,204.3103001,0.128348,0.128906,0.128348,0.128348,0.101087,13865600.0
16,1981-02-09,18668,2444645.0,320.6615775,20.93164538,334.8370833,306.5632664,332.0167599,189.9978425,189.3644316,239.8604903,264.2874541,204.288284,0.122768,0.122768,0.121652,0.121652,0.095813,16755200.0
17,1981-02-10,18669,2444646.0,321.6736665,35.26123703,334.5702933,307.8142812,332.8074642,189.9468556,189.3258922,239.8812162,264.3113475,204.279821,0.121652,0.12220999999999999,0.121652,0.121652,0.095813,18345600.0
18,1981-02-11,18670,2444647.0,322.6853107,49.4979286,334.1285715,309.0651712,333.5980121,189.8928961,189.2858062,239.9010774,264.3347975,204.2708136,0.11830399999999999,0.11830399999999999,0.117746,0.117746,0.092736,13843200.0
19,1981-02-12,18671,2444648.0,323.6965005,63.60085951,333.5220166,310.3159343,334.3883883,189.8359985,189.2441977,239.9200722,264.3578007,204.2612684,0.11718800000000001,0.11718800000000001,0.116629,0.116629,0.09185700000000001,14560000.0
